date,close.WF,close.MK,ExpectedReturn.WF (%age),ExpectedReturn.MK (%age),Sheet_Name,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
2015-09-01,50.99,1913.849976,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-02,51.99,1948.859985,1.9611688566385566,1.8292974600429224,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-03,52.43,1951.130005,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-04,51.29,1921.219971,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-08,52.93,1969.410034,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-09,52.19,1942.040039,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-10,52.56,1952.290039,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-11,52.62,1961.050049,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-14,52.77,1953.030029,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-15,53.47,1978.089966,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-16,53.72,1995.310059,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-17,52.21,1990.199951,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-18,51.04,1958.030029,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-21,51.55,1966.969971,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-22,50.69,1942.73999,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-23,50.78,1938.76001,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-24,50.55,1932.23999,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-25,51.48,1931.339966,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-28,50.37,1881.77002,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-29,50.89,1884.089966,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-09-30,51.35,1920.030029,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-01,51.44,1923.819946,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-02,51.26,1951.359985,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-05,52.41,1987.050049,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-06,52.03,1979.920044,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-07,52.19,1995.829956,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-08,52.54,2013.430054,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-09,52.14,2014.890015,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-12,52.18,2017.459961,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-13,51.86,2003.689941,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-14,51.5,1994.23999,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-15,52.69,2023.859985,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-16,52.88,2033.109985,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-19,52.56,2033.660034,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-20,53.08,2030.77002,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-21,53.12,2018.939941,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-22,54.06,2052.51001,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-23,54.75,2075.149902,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-26,54.29,2071.179932,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-27,54.12,2065.889893,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-28,55.45,2090.350098,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-29,55.09,2089.409912,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-10-30,54.14,2079.360107,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-02,54.85,2104.050049,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-03,54.93,2109.790039,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-04,54.58,2102.310059,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-05,54.86,2099.929932,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-06,55.85,2099.199951,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-09,55.47,2078.580078,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-10,55.91,2081.719971,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-11,55.8,2075.0,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-12,55.17,2045.969971,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-13,54.57,2023.040039,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-16,55.27,2053.189941,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-17,54.96,2050.439941,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-18,55.67,2083.580078,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-19,55.97,2081.23999,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-20,55.82,2089.169922,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-23,55.6,2086.590088,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-24,55.28,2089.139893,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-25,55.22,2088.870117,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-27,55.39,2090.110107,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-11-30,55.1,2080.409912,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-12-01,55.71,2102.629883,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-12-02,55.08,2079.51001,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-12-03,54.2,2049.620117,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-12-04,55.67,2091.689941,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-12-07,55.42,2077.070068,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-12-08,54.4,2063.590088,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-12-09,54.12,2047.619995,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-12-10,54.34,2052.22998,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-12-11,53.31,2012.369995,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-12-14,53.2,2021.939941,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-12-15,54.91,2043.410034,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-12-16,55.85,2073.070068,,,stocksReturns,,,,,,,,,,,,,,,,,
2015-12-17,55.47,2041.890015,,,stocksReturns,,,,,,,,,,,,,,,,,
